name,price,oldPrice
"Дихлофос от всех насекомых Moskitek Professional с трубкой 600мл",399.0,399
"Салфетки для лица матирующие Sensicare 80шт",139.0,199
"Дезодорант - кристалл универсальный ' Алоэ вера ' без запаха 60г",261.0,349
"Крем - гель для депиляции Velvet ультрабыстрый для зоны бикини 125мл",218.0,299
"Окисляющая эмульсия для волос Ollin Professional Performance ' Oxy ' 6% 20vol. , 90мл",189.0,189
"Крем - лифтинг для лица с нативным коллагеном Aravia Professional Collagen Expert Cream 50мл",599.0,959
"Средство для устранения засоров Expel Жирогон 2 саше по 50г",179.0,179
"Консилер для лица Catrice Liquid camouflage 001 5мл",419.0,419
"Блеск для губ Essence Extreme shine volume lipgloss 02 5мл",247.0,247
"Зубная паста Colgate Макс Фреш ' взрывная мята ' с освежающими кристаллами 100мл",199.0,329
"Одноразовый станок Bic Miss Soleil женский 2шт",249.0,249
"Гель для стирки детского белья Bambolina 0+ 1500мл",299.0,499
"Объёмная тушь для ресниц Luxvisage Elastica Thermo Tubing Черная 8г",315.0,485
"Флюид - Реконструктор для волос Ollin Professional Bionika 100мл",799.0,799
"Водостойкая тушь для ресниц Vivienne Sabo Cabaret Latex 01 Черный 9мл",649.0,649
"Восстанавливающий кондиционер для волос KeraSys 180мл",299.0,399
"Монопучковая зубная щетка LONGA VITA Prof soft",224.0,299
"Жидкость для снятия лака Чистая сила Улыбка Супер Эффект 110мл",99.0,99
"Основа под макияж выравнивающая Luxvisage Prime Expert ' Pore Filler ' Прозрачный 35г",278.0,429
"Печенье песочное с предсказаниями Корпорация удачи 6г",29.0,29
"Набор банных косметичек Ameli Коты из ПВХ и ПУ S/L 2шт",599.0,599
"Жидкий Бронзер для лица Essence Baby got bronze 20 10мл",409.0,409
"Консилер для лица Vivienne Sabo ' Aurora ' со светоотражающими частицами 01 4,5мл",489.0,699
"Маникюрные кусачки двухпружинные Kaizer ручная алмазная заточка , Серебро",699.0,699
"Мочалка - шар Spa 4 Me для душа , D13см",49.0,49
"Увлажняющий кондиционер для волос KeraSys 180мл",299.0,399
"Конфеты без сахара Scandic Лесные ягоды 14г",79.0,99
"Мочалка - шар Aqua Joy для душа и ванны , плиссированная в ассортименте",129.0,129
"Мусорные мешки Guten Tag 60л особо прочные 20шт",119.0,179
"Стойкая крем-гель краска для волос Estel Color Signature 7/71 Фраппе",489.0,489
"Ультратонкие ежедневные прокладки Day Spa Plus Large 24шт",159.0,159
"Влажные салфетки Выгода освежающие с фруктовым ароматом 80шт",99.0,99
