storeId,sku,retailerSku,name,price,oldPrice,discount
76098,15176501,3412070012,Томаты красные,90.0,90.0,0
76098,15064217,9072651501,Бананы,95.99,113.99,18
76098,17519940,1000233462,Филе грудки цыпленка-бройлера охлажденное ~900 г,359.1,359.1,0
76098,15176509,3412110001,Огурцы,69.5,69.5,0
76098,15066611,9072651210,Картофель,49.99,63.99,14
76098,18045986,3133780401,Сахар белый кристаллический 1 кг,71.0,71.0,0
76098,15176354,1444282020,Перец красный,140.0,140.0,0
76098,15064170,5555552001,Тушка цыпленка-бройлера с кожей охлажденная ~2 кг,472.0,472.0,0
76098,15291758,3272430018,Квас хлебный Очаково Очаковский двойного брожения 2 л,144.0,179.99,35
76098,1474502,1000199832,Фарш из индейки Индилайт Классический охлажденный 450 г,209.99,209.99,0
76098,106771,1000229616,Молоко пастеризованное «Село Зеленое» цельное 3 2% ГОСТ БЗМЖ охлажденное 930 г,94.99,94.99,0
76098,15177219,1000143746,Огурцы короткоплодные пупырчатые,56.7,56.7,0
76098,15080056,1000151153,Творог мягкий Свое Наше 5% БЗМЖ 180 г,69.99,69.99,0
76098,15169413,1000227406,Огурцы короткоплодные тепличные 450 г,119.0,119.0,0
76098,15064213,9072651201,Морковь,35.5,35.5,0
76098,15176496,3412060006,Картофель новый урожай,48.0,48.0,0
76098,15188845,1000233457,Голень цыпленка-бройлера на кости с кожей охлажденная ~950 г,218.49,218.49,0
76098,1313466,3454700001,Яйцо куриное столовое С1 10 шт,99.99,99.99,0
76098,55110,9639630174,Подсолнечное масло Золотая Семечка рафинированное дезодорированное 1 л,149.0,149.0,0
76098,16182205,1000389297,Хлеб Восход Черниговский ржано-пшеничный в нарезке 250 г,35.99,35.99,0
76098,15170010,1016090029,Прокладки гигиенические Naturella Ultra Normal 10 шт,99.99,159.99,60
76098,16327995,1623699906,Пирожное Orion Choco Pie 30 г х 12 шт,139.0,179.99,40
76098,15176396,1855599920,Сладкосливочное масло несоленое Магнит Крестьянское 72 5% БЗМЖ 180 г,121.99,121.99,0
76098,20584896,1000453882,Влажный корм Felix Аппетитные кусочки двойная вкуснятина с лососем и форелью в желе для кошек 75 г,31.99,31.99,0
76098,1413562,1000326706,Хлеб Восход Молочный классический батон пшеничный нарезанный 300 г,55.99,55.99,0
76098,1391531,1899912472,Йогурт Даниссимо с хрустящими шариками в шоколаде 6 9% БЗМЖ 105 г,59.0,59.0,0
76098,18947732,1000381367,Вода питьевая негазированная 5 л,79.0,79.0,0
76098,16667172,1000389507,Помидоры Черри Premiere of Taste Горячее сердце 200 г,139.99,139.99,0
76098,15177436,1000191329,Ватные диски La Fresh 120 шт,84.0,99.99,15
76098,1144392,1719900001,Подсолнечное масло Злато рафинированное 1 л,160.0,160.0,0
76098,15743126,1000376617,Сметана Варвара Краса 15% БЗМЖ 300 г,74.99,74.99,0
76098,15190043,3152910002,Крупа гречневая 1 сорт 800 г,29.0,29.0,0
76098,200814,1000166893,Жидкость Grass Azelit Антижир для кухни 600 мл,189.0,189.0,0
76098,68548,1000176577,Подсолнечное масло Благо рафинированное дезодорированное 1 л,134.0,154.99,20
76098,15089215,1000198598,Лук зеленый 100 г,89.99,89.99,0
76098,53001,1000048703,Мороженое Коровка из Кореновки пломбир крем-брюле стаканчик БЗМЖ 100 г,89.0,89.0,0
76098,15068088,1000208799,Уксус столовый Моя цена 9% 1 л,39.0,39.0,0
76098,15573365,1000198557,Зелень ассорти лук зеленый-петрушка-укроп 100 г,94.99,94.99,0
76098,106761,1000127183,Молоко пастеризованное питьевое Село Зелёное цельное канистра 3 2% ГОСТ БЗМЖ охлажденное 2 л,209.99,209.99,0
76098,15063232,1445100062,Картофель в упаковке ~2 5 кг,99.98,99.98,0
